title,Wind Speed,Gust Speed,Wind Direction,MRT,Temp,RH,Solar Radiation,DewPt,hour,day,month,DHR,DNI
2019-10-31 18:00:00-05:00,1.7799642666666669,5.120098133333333,266.0833333333333,17.72851851833333,18.00148148166667,97.86666666666667,0.6,17.703703703333332,18,31,10,0.582,0.16648599430028652
2019-10-31 19:00:00-05:00,0.8359648000000002,2.3938992,240.71666666666667,18.473333333333333,18.933055556666666,99.16666666666667,0.6,18.842592591666666,19,31,10,0.6,0.0
2019-10-31 20:00:00-05:00,0.9469797333333334,3.3386437333333334,133.98333333333332,18.374351851666663,18.08842592666667,98.66666666666667,0.6,17.88888889,20,31,10,0.6,0.0
2019-10-31 21:00:00-05:00,2.336529066666667,5.845047999999999,274.06666666666666,15.201388888333334,15.429537036666666,86.71666666666665,0.6,13.25,21,31,10,0.6,0.0
2019-10-31 22:00:00-05:00,1.9453690666666665,6.733912533333334,200.61666666666665,14.688333333333333,14.887314815000002,81.25,0.6,11.722222222,22,31,10,0.6,0.0
2019-10-31 23:00:00-05:00,2.446798933333333,9.297686933333333,198.5,11.737222221666668,11.760370371666667,71.3,0.6,6.712962963,23,31,10,0.6,0.0
2019-11-01 00:00:00-05:00,3.1158688,10.908521066666665,272.4166666666667,9.206574074499999,8.955833333333334,56.23333333333334,0.6,0.712962963,0,1,11,0.6,0.0
2019-11-01 01:00:00-05:00,2.5041690666666665,8.571992,262.31666666666666,7.451203703666667,7.400833333333334,57.63333333333333,0.6,-0.38888888883333333,1,1,11,0.582,0.1664136014024427
2019-11-01 02:00:00-05:00,2.5585589333333334,8.405097066666666,240.0333333333333,6.003981481499999,6.191296296333333,58.28333333333333,0.6,-1.351851852,2,1,11,0.582,0.11333444830878835
2019-11-01 03:00:00-05:00,1.726319466666667,7.0155477333333325,188.41666666666666,5.787037037,6.080740740666666,59.78333333333333,0.6,-1.1574074073333331,3,1,11,0.582,0.08349497350017342
2019-11-01 04:00:00-05:00,1.7829445333333334,5.343618133333333,82.85,6.242222222166667,6.360648148166667,61.26666666666667,0.6,-0.5648148148333333,4,1,11,0.582,0.06555567694562185
2019-11-01 05:00:00-05:00,1.7814544,4.734153599999999,80.71666666666667,5.487962963,5.641851851833334,65.46666666666668,0.6,-0.31481481483333335,5,1,11,0.582,0.054252262581968025
2019-11-01 06:00:00-05:00,1.726319466666667,4.3415034666666665,86.83333333333333,5.8380555554999995,6.072407407333333,59.68333333333334,0.6,-1.1851851851666666,6,1,11,0.582,0.04695985325261592
2019-11-01 07:00:00-05:00,1.560914666666667,4.565023466666666,84.95,5.6760185185,5.782777777833334,62.26666666666667,4.583333333333333,-0.8796296296666667,7,1,11,4.445833333333333,0.3230484152957722
2019-11-01 08:00:00-05:00,1.0579946666666669,2.8953290666666667,86.11666666666667,6.0462037036666665,5.9785185185,62.9,30.2,-0.5462962963333333,8,1,11,29.293999999999997,1.987369992254646
2019-11-01 09:00:00-05:00,1.73540928,4.67872064,69.25999999999999,6.833444444400001,6.3263333332,61.160000000000004,60.64,-0.6222222222,9,1,11,58.8208,3.8543747834060555
2019-11-01 10:00:00-05:00,2.1167344,4.732663466666666,59.6,6.9494444445,6.254351851833333,62.53333333333333,96.64999999999999,-0.38888888883333333,10,1,11,93.75049999999999,6.131989447426271
