Plot Title: DL1
#,"Date Time, GMT-05:00","Pressure, in Hg (LGR S/N: 20098500, SEN S/N: 10751992)","Temp, °C (LGR S/N: 20098520, SEN S/N: 10762331, LBL: Tamb)","RH, % (LGR S/N: 21098500, SEN S/N: 10263331)","Solar Radiation, W/m² (LGR S/N: 20034090, SEN S/N: 23073988)","MRT, °C (LGR S/N: 20098500, SEN S/N: 20496099, LBL: MRT schwarz)","Wind Speed, mph (LGR S/N: 20198500, SEN S/N: 21706789)","Gust Speed, mph (LGR S/N: 20178500, SEN S/N: 23706789)","Wind Direction, ø (LGR S/N: 20198500, SEN S/N: 21706789)","DewPoint, °C (LGR S/N: 20095520, SEN S/N: 10732331, LBL: Tamb)","SkyCover, Fraction (LGR S/N: 20095520, SEN S/N: 10732331, LBL: Tamb)"
47,01/02/19 10:00:00 PM,28.9394,4.419074074,59.76666667,0.6,4.180462963,3.241666667,5.973333333,175.7333333,-2.722222222,1
48,01/02/19 11:00:00 PM,28.93203333,4.691481481,60.95,0.6,4.128148148,1.993333333,4.111666667,178.3,-2.203703704,1
49,01/03/19 12:00:00 AM,28.93693333,5.199722222,60.81666667,0.6,4.592222222,1.62,3.74,178.0833333,-1.740740741,1
50,01/03/19 01:00:00 AM,28.93643333,5.802962963,61.31666667,0.6,5.599166667,4.108333333,6.105,187.0333333,-1.037037037,1
51,01/03/19 02:00:00 AM,28.95956667,6.466388889,61.53333333,0.6,6.027592593,3.488333333,5.6,178.8166667,-0.388888889,1
52,01/03/19 03:00:00 AM,28.94628333,5.947037037,61.1,0.6,5.943148148,2.993333333,5.85,194.9666667,-0.990740741,1
53,01/03/19 04:00:00 AM,28.94531667,5.363796296,62.86666667,0.6,5.166296296,2.496666667,4.851666667,203.6666667,-1.138888889,1
54,01/03/19 05:00:00 AM,28.92756667,5.376851852,63.8,0.6,5.170833333,2.746666667,4.976666667,189.6,-0.925925926,1
55,01/03/19 06:00:00 AM,28.94383333,5.226481481,64.9,0.6,5.071944444,2.37,4.608333333,185.6,-0.814814815,1
56,01/03/19 07:00:00 AM,28.94381667,5.209444444,66.25,0.816666667,4.97287037,0.993333333,2.493333333,254.1166667,-0.592592593,1
57,01/03/19 08:00:00 AM,28.96201667,5.65037037,68.28333333,20.81666667,5.551203704,1.116666667,2.743333333,250.5833333,0.259259259,1
58,01/03/19 09:00:00 AM,28.97236667,6.681388889,70.56666667,31.25,6.786759259,0.866666667,2.37,191,1.703703704,1
59,01/03/19 10:00:00 AM,28.97628333,7.145555556,74.01666667,31.26666667,7.086851852,1.623333333,3.246666667,190.2833333,2.842592593,1
60,01/03/19 11:00:00 AM,28.95463333,7.070277778,82.98333333,52.93333333,6.893148148,2.37,3.863333333,194.9666667,4.37037037,1
61,01/03/19 12:00:00 PM,28.92856667,7.388611111,85.56666667,41.45,7.376296296,2.488333333,4.481666667,208.1166667,5.12962963,1
62,01/03/19 01:00:00 PM,28.9064,8.190648148,85.05,48.73333333,8.256944444,2.86,5.106666667,206.9666667,5.833333333,1
63,01/03/19 02:00:00 PM,28.92906667,7.895,87.15,25.81666667,7.581574074,1.116666667,3.491666667,229,5.916666667,1
64,01/03/19 03:00:00 PM,28.94381667,7.464444444,91.46666667,14.6,7.141296296,2.368333333,4.608333333,148.7666667,6.175925926,1
65,01/03/19 04:00:00 PM,28.94875,7.422592593,92.31666667,2.066666667,7.040555556,2.493333333,4.356666667,204.1333333,6.277777778,1
66,01/03/19 05:00:00 PM,28.9689,6.994351852,93.58333333,0.6,6.762592593,1.496666667,3.238333333,224.55,6.064814815,1
67,01/03/19 06:00:00 PM,28.97385,6.977685185,94.11666667,0.6,6.712222222,0.866666667,2.12,264.9166667,6.12962963,1
68,01/03/19 07:00:00 PM,29.0019,6.73712963,94.61666667,0.6,6.551481481,1.623333333,3.36,167.75,5.925925926,1
69,01/03/19 08:00:00 PM,29.0073,6.758425926,94.83333333,0.6,6.483518519,1.12,2.493333333,256.2333333,6,1
70,01/03/19 09:00:00 PM,29.0014,6.517314815,95.01666667,0.6,6.348240741,0.866666667,2.25,223.15,5.796296296,1
71,01/03/19 10:00:00 PM,28.99156667,6.216851852,95.95,0.6,6.013055556,1.37,2.991666667,77.41666667,5.611111111,1
72,01/03/19 11:00:00 PM,28.97333333,5.547685185,97,0.6,5.526203704,1.87,5.101666667,91.03333333,5.092592593,1
73,01/04/19 12:00:00 AM,28.95808333,5.119166667,97.3,0.6,4.981481481,1.87,4.231666667,10.31666667,4.722222222,1
74,01/04/19 01:00:00 AM,28.95071667,4.895277778,97.4,0.6,4.692407407,1.746666667,4.601666667,7.966666667,4.537037037,0.2
75,01/04/19 02:00:00 AM,28.9389,4.631666667,97.56666667,0.6,4.449537037,1.373333333,3.368333333,123.65,4.277777778,0
76,01/04/19 03:00:00 AM,28.93151667,4.566666667,97.98333333,0.6,4.406388889,1.496666667,3.363333333,114.5,4.268518519,0
77,01/04/19 04:00:00 AM,28.90885,4.388981481,98.25,0.6,4.254722222,1.746666667,3.613333333,6.55,4.138888889,0
78,01/04/19 05:00:00 AM,28.87491667,4.202314815,98.56666667,0.6,4.084814815,2.12,4.48,67.33333333,3.981481481,0
79,01/04/19 06:00:00 AM,28.86113333,3.866666667,98.85,0.6,3.787962963,2.746666667,5.726666667,12.66666667,3.703703704,0
80,01/04/19 07:00:00 AM,28.8508,3.537962963,99.11666667,0.6,3.441481481,2.116666667,5.351666667,11.71666667,3.407407407,0
81,01/04/19 08:00:00 AM,28.86556667,3.234351852,99.21666667,3.733333333,3.177037037,3.238333333,7.6,8.683333333,3.111111111,0
82,01/04/19 09:00:00 AM,28.86703333,2.512314815,99.2,11.25,2.494166667,4.11,9.466666667,16.2,2.425925926,0
83,01/04/19 10:00:00 AM,28.86161667,2.181759259,99.21666667,11.03333333,2.137407407,3.123333333,8.343333333,11.73333333,2.092592593,0
84,01/04/19 11:00:00 AM,28.84491667,1.782037037,99.25,6.883333333,1.764259259,2.868333333,8.711666667,10.33333333,1.666666667,0
85,01/04/19 12:00:00 PM,28.83801667,1.20287037,99.3,20.41666667,1.198240741,4.855,10.59,9.4,1.101851852,0
86,01/04/19 01:00:00 PM,28.8257,0.984907407,99.3,25.61666667,0.95287037,5.106666667,10.83166667,12.68333333,0.87037037,0
87,01/04/19 02:00:00 PM,28.84536667,1.075833333,99.25,10.63333333,0.966388889,3.615,9.093333333,14.55,0.962962963,0
88,01/04/19 03:00:00 PM,28.8621,1.243981481,98.85,2.283333333,1.03037037,2.493333333,6.35,10.08333333,1.092592593,0
89,01/04/19 04:00:00 PM,28.86948333,1.280185185,97.38333333,0.816666667,0.9525,3.615,8.716666667,12.45,0.898148148,0
90,01/04/19 05:00:00 PM,28.8769,1.071296296,96.95,0.6,0.79287037,3.491666667,8.463333333,13.63333333,0.638888889,0
91,01/04/19 06:00:00 PM,28.88035,1.043981481,95.46666667,0.6,0.705740741,3.241666667,8.588333333,12.68333333,0.37037037,0
92,01/04/19 07:00:00 PM,28.89411667,0.888888889,91.81666667,0.6,0.545277778,3.985,9.466666667,11.05,-0.268518519,0
93,01/04/19 08:00:00 PM,28.89805,0.856944444,91.3,0.6,0.563611111,3.241666667,9.963333333,16.66666667,-0.398148148,0
94,01/04/19 09:00:00 PM,28.91723333,0.073611111,94.4,0.6,0.050833333,4.108333333,10.83666667,15.5,-0.722222222,0
95,01/04/19 10:00:00 PM,28.91526667,0.268703704,95.35,0.6,0.120833333,2.37,6.973333333,50,-0.388888889,0
96,01/04/19 11:00:00 PM,28.91673333,0.116203704,93.8,0.6,-0.194351852,2.493333333,8.343333333,74.13333333,-0.777777778,0
97,01/05/19 12:00:00 AM,28.90885,0.083888889,91.5,0.6,-0.175648148,2.116666667,7.22,91.73333333,-1.138888889,0
98,01/05/19 01:00:00 AM,28.92165,0.176666667,88.63333333,0.6,-0.120277778,2.616666667,8.466666667,94.58333333,-1.472222222,0
99,01/05/19 02:00:00 AM,28.9576,-0.339166667,92.08333333,0.6,-0.381203704,2.746666667,8.84,78.83333333,-1.462962963,0.8
100,01/05/19 03:00:00 AM,28.98565,-0.483796296,94.85,0.6,-0.553796296,3.736666667,10.95833333,72.51666667,-1.212962963,0.8
101,01/05/19 04:00:00 AM,29.00533333,-0.685833333,90.98333333,0.6,-0.7325,3.36,9.59,60.55,-2.009259259,1
102,01/05/19 05:00:00 AM,29.01715,-0.567962963,88.88333333,0.6,-0.788518519,2.746666667,8.966666667,109.1166667,-2.185185185,1
103,01/05/19 06:00:00 AM,29.04225,-0.863796296,89.78333333,0.6,-1.166388889,3.118333333,10.20833333,42.95,-2.333333333,1
104,01/05/19 07:00:00 AM,29.06535,-0.929722222,90.03333333,0.6,-1.369907407,4.111666667,12.32333333,38.73333333,-2.37037037,1
105,01/05/19 08:00:00 AM,29.0905,-0.911111111,89.68333333,9.566666667,-1.227407407,4.603333333,13.32333333,16.65,-2.37037037,0.8
106,01/05/19 09:00:00 AM,29.11165,-0.465185185,84.93333333,27.91666667,-0.647777778,4.353333333,12.335,40.36666667,-2.712962963,0.8
107,01/05/19 10:00:00 AM,29.13971667,-0.675833333,85.26666667,30.63333333,-0.525648148,2.62,8.84,76.25,-2.851851852,0.8
108,01/05/19 11:00:00 AM,29.1333,-0.432592593,81.76666667,63.33333333,-0.028055556,3.616666667,10.96333333,39.43333333,-3.194444444,1
109,01/05/19 12:00:00 PM,29.12098333,-0.269166667,77.23333333,74.56666667,0.231296296,3.98,11.82833333,31.68333333,-3.777777778,1
110,01/05/19 01:00:00 PM,29.11508333,0.482222222,74.48333333,158.1333333,2.221111111,3.858333333,12.69666667,72.05,-3.555555556,0
111,01/05/19 02:00:00 PM,29.11211667,0.434907407,67.78333333,57.91666667,0.924814815,2.996666667,9.34,90.6,-4.842592593,0.2
112,01/05/19 03:00:00 PM,29.12693333,0.296388889,70.6,28.76666667,0.407037037,2.87,8.593333333,62.63333333,-4.425925926,1
113,01/05/19 04:00:00 PM,29.13233333,0.00462963,72.13333333,4.166666667,-0.037222222,2.87,6.723333333,9.616666667,-4.407407407,1
114,01/05/19 05:00:00 PM,29.13283333,-0.32037037,74.13333333,0.6,-0.502314815,1.746666667,3.61,7.716666667,-4.351851852,1
115,01/05/19 06:00:00 PM,29.11803333,-0.432222222,75.25,0.6,-0.595925926,1.873333333,3.86,112.3666667,-4.25,1
116,01/05/19 07:00:00 PM,29.12693333,-0.436851852,77.03333333,0.6,-0.61962963,2.366666667,3.738333333,171.2666667,-3.953703704,1
117,01/05/19 08:00:00 PM,29.10966667,-0.208611111,78.38333333,0.6,-0.437037037,2.87,5.723333333,179.5,-3.518518519,1
118,01/05/19 09:00:00 PM,29.09885,-0.288333333,79.35,0.6,-0.390462963,2.496666667,5.6,209.7833333,-3.425925926,1
119,01/05/19 10:00:00 PM,29.10276667,-1.303888889,90.98333333,0.6,-1.232685185,2.991666667,6.1,183.7333333,-2.583333333,0.2
120,01/05/19 11:00:00 PM,29.07966667,-1.293981481,93.9,0.6,-1.346203704,3.368333333,5.601666667,168,-2.148148148,1
121,01/06/19 12:00:00 AM,29.0378,-1.322407407,92.78333333,0.6,-1.293888889,4.85,8.34,166.8,-2.314814815,1
122,01/06/19 01:00:00 AM,29.01075,-1.317685185,93.66666667,0.6,-1.317685185,4.105,8.216666667,175.7166667,-2.212962963,1
123,01/06/19 02:00:00 AM,28.99501667,-1.398518519,95.13333333,0.6,-1.389074074,5.35,9.463333333,172,-2.083333333,1
124,01/06/19 03:00:00 AM,28.995,-0.714351852,90.45,0.6,-0.916666667,6.346666667,10.95833333,175.2833333,-2.101851852,1
125,01/06/19 04:00:00 AM,28.995,-0.129814815,87.56666667,0.6,-0.315925926,6.6,11.21333333,177.15,-1.953703704,1
126,01/06/19 05:00:00 AM,28.99893333,0.064814815,91.48333333,0.6,-0.032222222,4.846666667,8.716666667,179.2666667,-1.148148148,1
127,01/06/19 06:00:00 AM,29.00385,0.572592593,90.03333333,0.6,0.263888889,3.855,7.47,194.05,-0.87037037,1
128,01/06/19 07:00:00 AM,29.01368333,0.522314815,92.33333333,1.45,0.250185185,2.616666667,5.973333333,232.05,-0.611111111,1
129,01/06/19 08:00:00 AM,29.04028333,1.024537037,93.13333333,21.46666667,0.764166667,1.87,5.846666667,140.7833333,0.027777778,1
130,01/06/19 09:00:00 AM,29.06731667,2.181666667,84.25,47.51666667,2.247777778,1.5,5.851666667,119.9,-0.212962963,1
131,01/06/19 10:00:00 AM,29.06733333,2.454259259,77.23333333,61.03333333,2.969444444,1.87,6.845,74.61666667,-1.12962963,1
132,01/06/19 11:00:00 AM,29.06735,2.659074074,69.76666667,72.5,2.96037037,3.233333333,10.83666667,106.3,-2.342592593,1
133,01/06/19 12:00:00 PM,29.05258333,3.039537037,57.48333333,88.96666667,4.072592593,3.736666667,9.586666667,127.9,-4.555555556,1
134,01/06/19 01:00:00 PM,29.05848333,3.313333333,57.55,100.4,3.983333333,2.62,7.473333333,104.6333333,-4.259259259,1
135,01/06/19 02:00:00 PM,29.04965,4.35,55.33333333,190.85,7.776574074,3.37,9.216666667,119.9166667,-3.805555556,1
136,01/06/19 03:00:00 PM,29.06683333,3.717777778,54.15,20.21666667,4.166759259,2.743333333,7.473333333,103.4833333,-4.685185185,1
137,01/06/19 04:00:00 PM,29.0782,3.167777778,53.4,6.45,2.720092593,1.996666667,5.603333333,87.78333333,-5.388888889,1
138,01/06/19 05:00:00 PM,29.08851667,2.40037037,54.2,0.6,1.524444444,1.246666667,4.111666667,95.73333333,-5.916666667,1
139,01/06/19 06:00:00 PM,29.09391667,1.849351852,54.6,0.6,0.892222222,0.74,2.74,132.3333333,-6.314814815,1
